Hari,Waktu,Mata Kuliah,Dosen,SKS,Jumlah Mahasiswa,Ruangan,Kapasitas
Senin,-,Pemrograman Web A,Dr. Budi,3,30,R-101,40
Senin,-,Pemrograman Web B,Dr. Budi,3,30,R-102,40
Senin,-,Pemrograman Web C,Dr. Budi,3,30,R-103,40
Selasa,-,Basis Data A,Prof. Siti,3,30,R-101,40
Selasa,-,Basis Data B,Prof. Siti,3,30,R-102,40
Selasa,-,Basis Data C,Prof. Siti,3,30,R-103,40
Rabu,-,Kecerdasan Buatan A,Pak Joko,3,30,R-101,40
Rabu,-,Kecerdasan Buatan B,Pak Joko,3,30,R-102,40
Rabu,-,Kecerdasan Buatan C,Pak Joko,3,30,R-103,40
Kamis,-,Jaringan Komputer A,Bu Rina,3,30,R-101,40
Kamis,-,Jaringan Komputer B,Bu Rina,3,30,R-102,40
Kamis,-,Jaringan Komputer C,Bu Rina,3,30,R-103,40
Jumat,-,Rekayasa Perangkat Lunak A,Dr. Agus,4,30,R-101,40
Jumat,-,Rekayasa Perangkat Lunak B,Dr. Agus,4,30,R-102,40
Jumat,-,Rekayasa Perangkat Lunak C,Dr. Agus,4,30,R-103,40
